"ROAD","LI","CONTRI","JF","CF","SP","DE","TIME"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","5.0705","0.73","17.64","+","2016-06-11 11:29:27"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","2.3571","0.80","13.43","+","2016-06-11 11:29:27"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.8712","0.70","19.13","-","2016-06-11 11:39:57"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","6.7744","0.70","17.13","+","2016-06-11 11:39:57"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","5.4601","0.70","15.66","+","2016-06-11 11:39:57"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","5.8646","0.70","14.96","-","2016-06-11 11:39:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","5.4674","0.74","15.64","+","2016-06-11 11:39:05"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","2.8929","0.79","39.34","+","2016-06-11 11:39:56"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","0.7323","0.80","46.55","+","2016-06-11 11:39:56"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0.5541","0.80","50.04","+","2016-06-11 11:39:56"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","0.9863","0.80","53.17","+","2016-06-11 11:39:56"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","0.9848","0.80","57.84","+","2016-06-11 11:39:56"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","1.0055","0.80","54.95","+","2016-06-11 11:39:56"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","1.6847","0.72","47.80","-","2016-06-11 11:39:38"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","2.0077","0.73","54.38","-","2016-06-11 11:39:38"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","1.7210","0.72","56.49","-","2016-06-11 11:39:38"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","1.8033","0.72","55.25","-","2016-06-11 11:39:38"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","3.2510","0.73","44.37","-","2016-06-11 11:39:38"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","8.9044","0.80","6.00","-","2016-06-11 11:39:05"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","5.8119","0.70","12.04","-","2016-06-11 11:39:05"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","6.1354","0.70","15.07","-","2016-06-11 11:39:05"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","6.5386","0.70","15.44","-","2016-06-11 11:39:05"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","4.947","0.70","18.53","+","2016-06-11 11:39:26"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","5.2612","0.71","17.28","+","2016-06-11 11:39:26"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","3.6924","0.74","11.97","+","2016-06-11 11:39:26"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.9033","0.70","19.06","-","2016-06-11 11:49:57"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","6.8065","0.70","17.06","+","2016-06-11 11:49:57"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","5.6729","0.70","15.29","+","2016-06-11 11:49:57"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","5.8646","0.70","14.96","-","2016-06-11 11:49:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","5.6761","0.72","15.28","+","2016-06-11 11:49:02"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","3.0623","0.74","38.77","+","2016-06-11 11:49:56"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","1.4834","0.74","44.04","+","2016-06-11 11:49:56"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","3.5796","0.85","39.31","+","2016-06-11 11:49:56"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","4.1120","0.86","40.83","+","2016-06-11 11:49:56"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","1.6620","0.90","54.97","+","2016-06-11 11:49:56"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","1.4949","0.90","52.99","+","2016-06-11 11:49:56"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","1.8040","0.71","47.36","-","2016-06-11 11:49:37"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","2.0559","0.71","54.17","-","2016-06-11 11:49:37"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","1.7829","0.71","56.22","-","2016-06-11 11:49:37"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","1.8359","0.71","55.11","-","2016-06-11 11:49:37"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","3.3733","0.71","43.89","-","2016-06-11 11:49:37"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","8.4310","0.74","8.28","-","2016-06-11 11:49:04"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","6.6786","0.72","10.84","-","2016-06-11 11:49:04"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","6.2083","0.70","14.94","-","2016-06-11 11:49:04"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","6.6265","0.79","15.27","-","2016-06-11 11:49:04"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","5.0992","0.70","18.23","+","2016-06-11 11:49:27"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","5.3443","0.70","17.12","+","2016-06-11 11:49:27"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","4.1989","0.72","11.42","+","2016-06-11 11:49:27"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.9119","0.70","19.04","-","2016-06-11 11:59:57"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","6.8151","0.70","17.04","+","2016-06-11 11:59:57"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","5.7652","0.70","15.13","+","2016-06-11 11:59:57"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","5.8646","0.70","14.96","-","2016-06-11 11:59:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","5.7666","0.70","15.13","+","2016-06-11 11:59:01"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","3.1712","0.72","38.41","+","2016-06-11 11:58:56"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","1.8205","0.72","42.92","+","2016-06-11 11:58:56"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","2.3841","0.76","43.55","+","2016-06-11 11:58:56"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","3.0450","0.78","45.17","+","2016-06-11 11:58:56"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","1.3979","0.79","56.09","+","2016-06-11 11:58:56"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","1.8461","0.80","51.57","+","2016-06-11 11:58:56"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","0.7450","0.84","51.26","-","2016-06-11 11:59:37"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","1.7994","0.83","55.27","-","2016-06-11 11:59:37"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","1.8166","0.87","56.07","-","2016-06-11 11:59:37"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","1.7176","0.87","55.62","-","2016-06-11 11:59:37"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","2.0897","0.85","48.88","-","2016-06-11 11:59:37"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","8.0773","0.72","9.99","-","2016-06-11 11:59:05"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","6.2371","0.71","11.45","-","2016-06-11 11:59:05"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","6.1965","0.70","14.96","-","2016-06-11 11:59:05"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","6.7051","0.74","15.12","-","2016-06-11 11:59:05"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","5.1660","0.70","18.10","+","2016-06-11 11:59:27"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","5.3811","0.70","17.06","+","2016-06-11 11:59:27"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","4.4094","0.70","11.18","+","2016-06-11 11:59:27"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","5.9215","0.70","19.02","-","2016-06-11 12:09:57"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","7.0832","0.70","16.44","+","2016-06-11 12:09:57"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","5.8060","0.70","15.06","+","2016-06-11 12:09:57"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","5.8646","0.70","14.96","-","2016-06-11 12:09:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","5.8067","0.70","15.06","+","2016-06-11 12:09:01"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","3.2461","0.70","38.15","+","2016-06-11 12:09:56"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","2.1369","0.70","41.86","+","2016-06-11 12:09:56"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","2.0028","0.73","44.90","+","2016-06-11 12:09:56"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","2.2768","0.73","48.15","+","2016-06-11 12:09:56"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","1.5401","0.74","55.49","+","2016-06-11 12:09:56"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","2.2247","0.74","50.05","+","2016-06-11 12:09:56"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","1.5318","0.76","48.36","-","2016-06-11 12:09:38"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","1.9393","0.77","54.67","-","2016-06-11 12:09:38"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","1.8258","0.77","56.03","-","2016-06-11 12:09:38"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","1.7974","0.77","55.28","-","2016-06-11 12:09:38"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","2.8053","0.77","46.10","-","2016-06-11 12:09:38"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","7.5952","0.70","11.00","-","2016-06-11 12:09:05"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","6.0224","0.70","11.75","-","2016-06-11 12:09:05"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","6.1965","0.70","14.96","-","2016-06-11 12:09:05"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","7.0351","0.71","14.48","-","2016-06-11 12:09:05"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","5.1957","0.70","18.05","+","2016-06-11 12:09:27"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","5.7013","0.70","16.46","+","2016-06-11 12:09:27"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","4.5012","0.70","11.08","+","2016-06-11 12:09:27"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","6.0815","0.70","18.66","-","2016-06-11 12:19:57"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","7.1952","0.70","16.20","+","2016-06-11 12:19:57"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","5.8169","0.70","15.04","+","2016-06-11 12:19:57"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","5.8646","0.70","14.96","-","2016-06-11 12:19:03"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","5.8174","0.70","15.04","+","2016-06-11 12:19:04"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","0.3569","0.94","47.81","+","2016-06-11 12:19:57"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","0","0.98","53.21","+","2016-06-11 12:19:57"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","0","0.98","53.58","+","2016-06-11 12:19:57"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","0.8536","0.98","53.68","+","2016-06-11 12:19:57"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","1.4408","0.98","55.91","+","2016-06-11 12:19:57"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","1.5794","0.98","52.65","+","2016-06-11 12:19:57"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","1.8851","0.72","47.06","-","2016-06-11 12:19:38"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","2.1244","0.72","53.87","-","2016-06-11 12:19:38"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","1.8927","0.73","55.74","-","2016-06-11 12:19:38"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","1.8970","0.73","54.85","-","2016-06-11 12:19:38"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","3.2975","0.73","44.18","-","2016-06-11 12:19:38"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","7.2640","0.70","11.53","-","2016-06-11 12:19:06"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","5.9223","0.70","11.88","-","2016-06-11 12:19:06"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","6.1965","0.70","14.96","-","2016-06-11 12:19:06"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","7.1743","0.70","14.21","-","2016-06-11 12:19:06"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","5.3862","0.70","17.68","+","2016-06-11 12:19:27"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","5.8379","0.70","16.20","+","2016-06-11 12:19:27"
"Pokharan No. 1 Road","502-03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","4.5418","0.70","11.04","+","2016-06-11 12:19:27"
"Kamgar Hospital No 33 Road","502+02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","6.2492","0.70","18.29","-","2016-06-11 12:29:57"
"Kamgar Hospital No 33 Road","502-02924","Eastern Express Highway/Sant Dhyaneshwar Maharaj Path","7.2444","0.70","16.09","+","2016-06-11 12:29:57"
"Kamgar Hospital No 33 Road","502-02924","Wagle Industrial Estate","5.8169","0.70","15.04","+","2016-06-11 12:29:57"
"Krishna Nagar No 2 Road","502+02946","Hutatma Maruti Kumar Path/Dr. Ambedkar Path","5.8646","0.70","14.96","-","2016-06-11 12:29:02"
"Krishna Nagar No 2 Road","502-02946","Edulji Road","5.8174","0.70","15.04","+","2016-06-11 12:29:03"
"Eastern Express Highway","502-03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","1.2725","0.93","44.75","+","2016-06-11 12:29:56"
"Eastern Express Highway","502-03126","Savitribai Phule Marg","0.7535","0.82","46.48","+","2016-06-11 12:29:56"
"Eastern Express Highway","502-03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","1.1101","0.83","48.06","+","2016-06-11 12:29:56"
"Eastern Express Highway","502-03126","Late Mahadev Gopal Patil Marg","1.5536","0.94","50.96","+","2016-06-11 12:29:56"
"Eastern Express Highway","502-03126","Sai Baba Mandir Road","3.9051","0.85","45.49","+","2016-06-11 12:29:56"
"Eastern Express Highway","502-03126","Advokate Almeda Marg","3.9902","0.87","42.95","+","2016-06-11 12:29:56"
"Eastern Express Highway","502+03126","Sai Baba Mandir Road","4.5495","0.92","36.35","-","2016-06-11 12:29:41"
"Eastern Express Highway","502+03126","Late Mahadev Gopal Patil Marg","5.1513","0.91","38.67","-","2016-06-11 12:29:41"
"Eastern Express Highway","502+03126","Pokharan No 1 Road/Hutatma Maruti Kumar Path","5.1473","0.90","39.31","-","2016-06-11 12:29:41"
"Eastern Express Highway","502+03126","Savitribai Phule Marg","2.8986","0.75","50.55","-","2016-06-11 12:29:41"
"Eastern Express Highway","502+03126","Lal Bahadur Shastri Marg/Ghodbandar Road /","3.4655","0.71","43.53","-","2016-06-11 12:29:41"
"Pokharan No. 1 Road","502+03206","Lal Bahadur Shastri Marg/Dr. Ambedkar Path","7.1048","0.70","11.79","-","2016-06-11 12:29:05"
"Pokharan No. 1 Road","502+03206","Cadbury Company Chowk/Eastern Express Highway","5.8766","0.70","11.95","-","2016-06-11 12:29:05"
"Pokharan No. 1 Road","502+03206","V. V. Shirwadkar Marg","6.4895","0.70","14.43","-","2016-06-11 12:29:05"
"Pokharan No. 1 Road","502+03206","Dhramveer Anand Chintamani Dighe Marg","7.2352","0.70","14.09","-","2016-06-11 12:29:05"
"Pokharan No. 1 Road","502-03206","V. V. Shirwadkar Marg","5.5823","0.70","17.30","+","2016-06-11 12:29:27"
"Pokharan No. 1 Road","502-03206","Cadbury Company Chowk/Eastern Express Highway","5.8978","0.70","16.09","+","2016-06-11 12:29:27"
