"TIME","ROAD","LI","CONTRI","LEN","FS","JF","CF","SP","DE","TT"
326.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.2698,0.94,57.91,+,0.007168537385598342
336.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.4972,0.87,48.95,+,0.008480694586312563
345.93333333333334,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.7649,0.77,47.88,+,0.008670217209690894
356.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,5.2703,0.97,35.53,+,0.011683929074021953
366.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.7762,0.85,47.83,+,0.0086792807861175
376.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.6162,0.77,48.48,+,0.008562912541254126
386.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.4267,0.73,49.24,+,0.008430747359870023
396.93333333333334,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.9032,0.98,51.34,+,0.008085897935333073
406.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,5.5726,0.98,33.77,+,0.012292863488303227
416.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.4591,0.97,53.13,+,0.007813476378693769
426.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.4081,0.95,53.34,+,0.007782714660667416
436.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.3875,0.84,53.42,+,0.007771059528266566
446.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.3466,0.76,53.58,+,0.007747853676745054
456.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.2213,0.72,54.09,+,0.007674801257163986
466.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,5.1120,0.92,36.45,+,0.011389026063100136
476.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,4.4694,0.84,40.18,+,0.010331757093081135
486.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.97,63.1,+,0.00657892234548336
496.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.8208,0.87,55.7,+,0.0074529622980251346
506.9166666666667,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.6665,0.84,52.3,+,0.007937476099426386
515.9333333333333,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.7481,0.76,55.99,+,0.007414359707090552
526.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.95,63.11,+,0.006577879892251624
536.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.81,60.84,+,0.006823307034845496
546.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.75,59.97,+,0.006922294480573621
556.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.4725,0.79,49.05,+,0.008463404689092763
566.9333333333333,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,3.4440,0.87,45.15,+,0.009194462901439646
576.9166666666666,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.5460,0.77,52.78,+,0.007865289882531261
586.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,3.0958,0.93,46.55,+,0.008917937701396348
596.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.5644,0.87,52.71,+,0.007875735154619617
605.9166666666666,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.7023,0.77,56.17,+,0.007390599964393805
616.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.83,66.1,+,0.006280332829046899
626.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.76,62.19,+,0.006675188937128156
636.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.72,60.43,+,0.0068696011914611945
646.9166666666666,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.96,87.51,+,0.0047438007084904575
656.9166666666666,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.82,71.8,+,0.005781754874651811
666.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.1447,0.98,50.37,+,0.008241612070676991
676.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.2505,0.83,53.97,+,0.007691865851398925
685.9333333333333,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.5613,0.76,56.74,+,0.0073163553048995415
696.9166666666666,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.252,0.72,57.99,+,0.007158648042765994
706.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.1131,0.71,58.54,+,0.007091390502220704
716.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0507,0.7,58.8,+,0.007060034013605443
726.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0227,0.7,58.91,+,0.007046851128840605
736.9333333333333,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0120,0.7,58.95,+,0.007042069550466497
746.9166666666666,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0120,0.7,58.95,+,0.007042069550466497
756.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0033,0.7,58.99,+,0.0070372944566875735
766.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0033,0.7,58.99,+,0.0070372944566875735
776.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0033,0.7,58.99,+,0.0070372944566875735
786.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0033,0.7,58.99,+,0.0070372944566875735
796.9166666666666,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.1248,0.93,50.45,+,0.008228543111992071
806.9166666666666,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.9538,0.8,55.16,+,0.007525924583031182
816.9166666666666,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.1124,0.93,58.55,+,0.007090179333902648
826.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0504,0.8,58.8,+,0.007060034013605443
836.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0226,0.74,58.91,+,0.007046851128840605
846.9166666666666,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0119,0.72,58.95,+,0.007042069550466497
855.9333333333333,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0045,0.7,58.98,+,0.007038487622923025
866.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0033,0.7,58.99,+,0.0070372944566875735
876.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0033,0.7,58.99,+,0.0070372944566875735
886.9166666666666,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0033,0.7,58.99,+,0.0070372944566875735
896.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0033,0.7,58.99,+,0.0070372944566875735
906.9333333333333,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0033,0.7,58.99,+,0.0070372944566875735
916.9166666666666,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0033,0.7,58.99,+,0.0070372944566875735
926.9166666666666,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0033,0.7,58.99,+,0.0070372944566875735
936.9166666666666,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0033,0.7,58.99,+,0.0070372944566875735
946.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0033,0.7,58.99,+,0.0070372944566875735
956.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0033,0.7,58.99,+,0.0070372944566875735
966.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0033,0.7,58.99,+,0.0070372944566875735
976.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0033,0.7,58.99,+,0.0070372944566875735
986.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.1176,0.7,58.53,+,0.007092602084401161
996.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.1897,0.7,58.24,+,0.007127918956043955
1006.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.8093,0.87,55.74,+,0.007447613921779691
1016.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.5003,0.77,56.99,+,0.0072842603965608
1025.95,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.3615,0.73,57.55,+,0.007213379669852303
1036.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.8521,0.87,51.55,+,0.008052958292919497
1046.9166666666667,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.84,61.9,+,0.006706462035541196
1056.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.76,59.75,+,0.0069477824267782425
1066.9166666666667,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.99,65.67,+,0.006321455763666819
1076.9333333333334,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.3349,0.86,57.65,+,0.007200867302688639
1086.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.85,64.48,+,0.0064381203473945405
1096.9166666666667,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.9,60.99,+,0.006806525659944253
1106.9166666666667,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.8930,0.98,55.41,+,0.00749196895867172
1116.9166666666667,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.6748,0.82,56.29,+,0.007374844554983123
1126.9166666666667,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.91,60.89,+,0.00681770405649532
1136.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.9,62.6,+,0.0066314696485623
1146.9166666666667,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,3.1002,0.98,46.53,+,0.008921770900494305
1156.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.99,67.18,+,0.0061793688597796955
1166.9166666666667,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.83,61.57,+,0.006742407016404093
1176.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.75,59.05,+,0.007030143945808637
1186.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.94,59.77,+,0.006945457587418437
1195.9333333333334,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.98,65.85,+,0.006304176157934701
1206.9166666666667,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.3385,0.95,57.64,+,0.007202116585704372
1216.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.4259,0.81,57.29,+,0.007246116250654564
1226.9166666666667,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.2149,0.9,54.11,+,0.007671964516725189
1236.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.1230,0.92,54.48,+,0.007619860499265786
1246.9333333333334,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.3676,0.91,57.52,+,0.007217141863699582
1256.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,5.2540,0.91,35.62,+,0.011654407636159462
1266.9166666666667,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.1720,0.87,54.29,+,0.007646527905691656
1276.95,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.8001,0.77,55.78,+,0.007442273216206526
1286.9166666666667,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.2477,0.85,53.98,+,0.007690440904038533
1296.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.0760,0.96,50.65,+,0.008196051332675222
1306.95,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.6510,0.97,56.38,+,0.007363072011351543
1316.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.5662,0.82,56.72,+,0.007318935119887165
1326.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.5281,0.75,56.88,+,0.007298347398030942
1336.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.4873,0.92,57.04,+,0.007277875175315568
1346.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.9,62.75,+,0.006615617529880478
1356.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.93,65.29,+,0.006358247817429928
1366.9833333333333,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,5.6587,0.97,33.27,+,0.012477607454162909
1376.9166666666667,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.94,61.59,+,0.006740217567786978
1386.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.82,59.89,+,0.006931541158791117
1396.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.9573,0.88,51.13,+,0.008119108155681596
1406.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.1332,0.78,54.44,+,0.007625459221160911
1416.9333333333334,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.7827,0.73,55.85,+,0.007432945389435989
1426.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.6253,0.71,56.48,+,0.007350035410764873
1436.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.3697,0.9,57.51,+,0.007218396800556425
1446.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.4030,0.8,57.38,+,0.007234750784245381
1456.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.7158,0.83,56.12,+,0.007397184604419103
1466.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0624,0.97,58.75,+,0.007066042553191489
1476.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.87,60.24,+,0.006891268260292164
1486.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.5465,0.77,56.8,+,0.007308626760563381
1496.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.0479,0.73,54.78,+,0.007578130704636729
1506.9166666666667,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.88,60.73,+,0.006835666062901367
1516.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.0264,0.97,50.85,+,0.008163815142576204
1526.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.9026,0.84,51.35,+,0.008084323271665044
1535.9333333333334,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.2233,0.86,54.08,+,0.007676220414201184
1546.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.2175,0.95,50.08,+,0.008289337060702876
1556.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.8158,0.9,55.72,+,0.007450287150035894
1566.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.6673,0.79,52.29,+,0.007938994071524192
1576.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.87,60.16,+,0.006900432180851064
1586.9333333333334,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.2763,0.84,49.84,+,0.008329253611556982
1597.0333333333333,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.5287,0.76,48.83,+,0.008501535941019865
1606.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.6421,0.72,48.37,+,0.008582385776307629
1616.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.3535,0.9,49.53,+,0.008381385019180294
1626.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,3.3737,0.98,45.43,+,0.00913779440898085
1636.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,3.0863,0.84,46.58,+,0.008912194074710176
1646.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.8119,0.85,55.73,+,0.0074489502960703394
1656.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.7481,0.99,47.95,+,0.008657559958289885
1666.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.0288,0.89,50.84,+,0.008165420928402832
1676.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.9463,0.78,47.15,+,0.008804453870625664
1686.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,3.3094,0.73,45.69,+,0.009085795578901292
1696.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,3.4035,0.71,45.31,+,0.0091619951445597
1707.0,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,3.4458,0.7,45.14,+,0.00919649977846699
1716.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,7.1228,0.87,24.76,+,0.01676615508885299
1726.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,7.8011,0.92,20.82,+,0.019939000960614794
1736.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,5.8635,0.86,32.08,+,0.012940461346633417
1746.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,5.0501,0.96,36.81,+,0.011277641945123608
1756.9166666666667,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,4.0291,0.83,42.74,+,0.009712915301824988
1766.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0388,0.94,58.84,+,0.007055234534330387
1776.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.5932,0.81,52.59,+,0.007893706027761932
1786.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.2221,0.74,50.06,+,0.008292648821414303
1796.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.8312,0.94,47.61,+,0.00871938668346986
1807.05,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.6409,0.81,48.38,+,0.008580611823067383
1816.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.5554,0.75,48.72,+,0.008520730706075534
1826.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.3995,0.72,49.35,+,0.008411955420466058
1836.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.91,60.38,+,0.0068752898310698906
1846.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.0785,0.79,54.66,+,0.0075947676545920235
1856.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.1629,0.89,54.32,+,0.007642304860088365
1866.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.3281,0.9,57.68,+,0.007197122052704577
1876.9833333333333,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.1062,0.79,54.55,+,0.007610082493125573
1886.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,3.9171,0.97,43.24,+,0.009600601295097131
1896.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.2067,0.91,58.17,+,0.007136496475846656
1906.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,3.5255,0.86,44.82,+,0.009262159750111557
1916.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.2994,0.88,49.75,+,0.008344321608040202
1926.9333333333334,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.2380,0.78,54.02,+,0.007684746390225842
1936.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.83,59.52,+,0.006974630376344086
1946.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.1903,0.96,50.19,+,0.008271169555688384
1956.9166666666667,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.9832,0.81,55.04,+,0.007542332848837209
1966.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.4413,0.75,57.22,+,0.007254980775952464
1976.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.1981,0.72,58.2,+,0.007132817869415807
1986.9166666666667,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0889,0.71,58.64,+,0.007079297407912687
1996.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0399,0.7,58.84,+,0.007055234534330387
2006.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.7776,0.77,55.87,+,0.007430284589224987
2016.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.93,66.65,+,0.006228507126781695
2026.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.0900,0.86,50.59,+,0.008205771891678197
2036.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.9382,0.77,55.23,+,0.007516386022089445
2047.0,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,4.7902,0.92,38.32,+,0.010833246346555324
2056.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,2.3079,0.8,49.72,+,0.008349356395816573
2066.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,1.0360,0.74,54.83,+,0.007571220134962612
2076.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.4650,0.72,57.13,+,0.007266409942237003
2086.9166666666665,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.84,63.76,+,0.006510821831869511
2096.9333333333334,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.76,61.14,+,0.006789826627412496
2106.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.72,59.96,+,0.006923448965977318
2116.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.71,59.59,+,0.006966437321698271
2126.9166666666665,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.7,59.31,+,0.006999325577474287
2136.9166666666665,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0,0.93,65.17,+,0.006369955500997391
2146.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,4.591,0.9,39.47,+,0.010517608310108943
2156.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.2811,0.9,57.87,+,0.007173492310350787
2166.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.1262,0.79,58.49,+,0.0070974525559924775
2176.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0566,0.74,58.77,+,0.0070636379104985535
2186.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0254,0.71,58.9,+,0.007048047538200339
2196.9166666666665,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0134,0.7,58.95,+,0.007042069550466497
2206.9,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0134,0.7,58.95,+,0.007042069550466497
2217.0,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0037,0.7,58.99,+,0.0070372944566875735
2226.9166666666665,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0037,0.7,58.99,+,0.0070372944566875735
2236.9166666666665,Eastern Express Highway,502-03126,Advokate Almeda Marg,0.41513,59,0.0037,0.7,58.99,+,0.0070372944566875735
